#full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,rot_per
"       (2013 JC)",1.480156430291565,.3128774594523371,5.722367298332611,219.1279092734551,334.7301516257985,1.0170488467899,1.943264013793231,1.80081718565615,18,7,43,,,26.1,
"       (2013 JE1)",1.375191225548108,.4092931504881619,32.67799428904846,185.7707682340176,163.0844500269149,.8123348763198461,1.938047574776369,1.61269723465323,6939,1,86,,,19.1,
"       (2013 JF1)",1.665334041778892,.405239087292771,1.481838603465024,82.7927648561465,109.2077636208256,.9904755946508323,2.340192488906951,2.14911790221722,37,7,140,,,24.9,
"       (2013 JX2)",1.648930582551117,.3300398147587639,12.76399882554358,81.59654451806904,151.7279932591291,1.104717838535886,2.193143326566349,2.11744316253427,603,1,170,,,20.7,
"       (2013 JY2)",2.19272513470887,.5341300113769241,28.99672383249546,46.52686460375038,206.2776818505683,1.021524833560354,3.363925435857386,3.24701649254372,5,8,89,,,22.5,
"       (2013 JO4)",1.866821637459844,.6173751845990102,16.2147439296994,104.6164251976051,33.55700216669662,.7142922844196463,3.019350990500042,2.55071796629794,32,7,84,,,20.4,
"       (2013 JP4)",1.415977026828961,.3555165475630255,12.97665528440946,225.3286071529832,297.7100457498162,.9125737628221714,1.919380290835751,1.68497132041361,11,7,57,,,24.6,
"       (2013 JM7)",1.211249090899246,.2739975298970642,4.959104903071712,242.4996319351929,154.8230727774036,.8793698319027878,1.543128349895704,1.33308670877237,1483,1,65,,,20.8,
"       (2013 JN7)",1.719177433045108,.6408093927044012,2.258333252639376,297.5520146908351,167.4326651500334,.617512386224361,2.820842479865855,2.25418343920206,79,5,39,,,20.9,
"       (2013 JO7)",1.125896444363176,.1027089742475794,10.16085977339512,220.4132196227623,21.41240733801706,1.010256775453637,1.241536113272715,1.19469177480825,3,7,23,,,26.0,
"       (2013 JR7)",1.251067616076778,.2227961237257889,9.125716065637205,43.1592121080417,230.4958331570438,.9723346006960083,1.529800631457548,1.39935974340806,1,7,7,,,26.8,
"       (2013 JS7)",1.778063422934463,.4310470951903231,9.806817787099861,36.71509396918139,127.0796346164654,1.0116343494144,2.544492496454527,2.37098646263035,7,9,12,,,23.3,
"       (2013 JH14)",2.021026684238073,.5718836653806789,2.640265467677538,152.8649462060329,356.8945658402918,.8652345362238437,3.176818832252302,2.87320275228698,36,7,32,,,22.2,
"       (2013 JK14)",.9216284855928139,.4643389686000927,4.87285605888958,55.69165803860468,313.0540614650954,.4936804651601813,1.349576506025447,0.884793729989803,6,7,17,,,24.9,
"       (2013 JL14)",.9202302938699656,.4309133895217194,14.77731151952662,227.1550214051101,136.4424594483467,.5236907387978907,1.31676984894204,0.88278102861079,7,7,27,,,24.5,
"       (2013 JM14)",1.893491072920048,.5107047450113447,8.110497548983586,109.533439543697,44.34195638809125,.9264761973431573,2.860505948496938,2.6055720995535,39,6,63,,,21.5,
"       (2013 JA17)",1.906199599420118,.3276853323751394,3.336913491129939,65.69632334234548,309.4051768756446,1.281565950110779,2.530833248729457,2.63184775638997,4,8,13,,,19.921,
"       (2013 JR17)",2.070333191230341,.4685840840512275,.825708187103272,81.17593551080647,174.3924126707141,1.100208009136817,3.040458373323865,2.97898673479769,2,8,12,,,25.5,
"       (2013 JS17)",2.294401393398131,.7399463460810527,11.71813270379865,54.09591943911505,74.86395519632295,.596667465909908,3.992135320886354,3.47546003525292,13,9,21,,,23.0,
"       (2013 JT17)",2.422032749846045,.5677625160134466,13.07220527710258,54.35457051276436,223.1250729554569,1.046893341926487,3.797172157765602,3.76945201467667,27,7,16,,,24.1,
