    162 Laurentia         -          STU    2   -  -  -   -  -      -   -   -   Ch  s   -   -   -   -  -                     
    163 Erigone           -          C      2   -  -  -   -  -      -   -   -   Ch  s   -   -   -   -  -                     
    164 Eva               -          CX     2   -  -  -   -  -      -   -   -   X   s   X   X   -   -  -                     
    165 Loreley           -          CD     2   -  -  -   -  -      -   -   -   Cb  s   -   -   -   -  -                     
    166 Rhodope           -          GC:    2   -  -  -   -  -      -   -   -   Xe  s   X   Xk  -   -  -                     
    167 Urda              -          S      4   -  -  S   2I -      -   -   -   Sk  s   -   -   -   -  -                     
    168 Sibylla           -          C      7G  C0 7I C   2I -      -   -   -   Ch  s   Caa Ch  -   -  -                     
    169 Zelia             -          S      7   S0 7I -   -  -      -   -   -   Sl  s   S   O   -   -  -                     
    170 Maria             -          S      7G  S0 7I S   2I -      -   -   -   S   s   S   Sl  S   a  -                     
    171 Ophelia           -          C      7G  C0 7I C   2I -      -   -   -   C   s   C   Cb  -   -  -                     
    172 Baucis            -          S      2G  -  -  -   -  -      -   -   -   L   s   -   -   -   -  -                     
    173 Ino               -          C      7G  C0 7I C   2I -      -   -   -   Xk  s   X   X   -   -  -                     
    174 Phaedra           -          S      2   -  -  -   -  -      -   -   -   S   s   -   -   -   -  -                     
    175 Andromache        -          C      2G  -  -  -   -  -      -   -   -   Cg  s   -   -   Cg  a  -                     
    176 Iduna             -          G      S   -  -  -   -  -      -   -   -   Ch  s   Caa Ch  -   -  -                     
    177 Irma              -          C:     2   -  -  -   -  -      -   -   -   Ch  s   Caa Ch  -   -  -                     
    178 Belisana          -          S      2   -  -  -   -  -      -   -   -   S   s   -   -   -   -  -                     
    179 Klytaemnestra     -          S      7G  S0 7I S   2I -      -   -   -   Sk  s   -   -   -   -  -                     
    180 Garumna           -          S      2   -  -  -   -  -      -   -   -   Sq  s   -   -   Sr  a  -                     
    181 Eucharis          -          S      4   -  -  K   2I -      -   -   -   Xk  s   X   X   Xk  a  -                     
    182 Elsa              -          S      2G  -  -  -   -  -      -   -   -   S   s   -   -   -   -  -                     
    183 Istria            -          S      2   -  -  -   -  -      -   -   -   S   s   S   S   -   -  -                     
    184 Dejopeja          -          X      4   -  -  M   2I -      -   -   -   X   s   X   X   -   -  -                     
    185 Eunike            -          C      7   C0 7I C   2I -      -   -   -   C   s   -   -   -   -  -                     
    186 Celuta            -          S      7G  S0 7I SK  2I -      -   -   -   K   s   -   -   -   -  -                     
    187 Lamberta          -          C      7   C0 7I C   2I -      -   -   -   Ch  s   -   -   -   -  -                     
    188 Menippe           -          S      7   S0 7I S   2I -      -   -   -   S   s   -   -   S   a  -                     
    189 Phthia            -          S      4G  -  -  S   2I -      -   -   -   Sa  s   -   -   -   -  -                     
